"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"Ã…land Islands","0","0","0","0","0","0","0","0","0","0","0","0","23","1","24"
"Albania","1","0","1","0","0","1","24","51","77","152","0","87","1,063","73","1,376"
"Andorra","0","0","0","0","0","0","0","4","10","14","0","22","323","7","366"
"Austria","3","0","3","4","0","7","27","60","52","139","0","91","907","69","1,209"
"Belgium","1","0","1","0","0","1","6","11","37","54","0","52","754","39","900"
"Bosnia and Herzegovina","0","0","0","0","0","0","14","46","67","127","0","67","955","88","1,237"
"Bulgaria","0","0","0","0","0","0","18","31","75","124","0","88","996","70","1,278"
"Croatia","1","0","1","2","0","3","39","56","112","207","0","99","1,259","118","1,684"
"Czechia","0","0","0","0","0","0","4","26","33","63","0","59","752","42","916"
"Denmark","0","0","0","0","0","0","7","7","45","59","0","47","725","31","862"
"Estonia","0","0","0","0","0","0","2","4","20","26","0","28","534","9","597"
"Faroe Islands","1","0","1","0","0","1","5","5","20","30","0","18","307","19","375"
"Finland","0","0","0","0","0","0","5","5","24","34","0","43","571","15","663"
"France","8","0","8","7","0","15","38","114","190","342","0","177","2,034","281","2,842"
"Germany","4","0","4","5","0","9","21","62","69","152","0","95","1,006","82","1,339"
"Gibraltar","0","0","0","0","0","0","9","10","39","58","0","24","538","31","651"
"Greece","4","0","4","10","1","15","87","158","261","506","0","162","1,589","261","2,522"
"Greenland","1","0","1","0","0","1","2","5","21","28","0","10","217","19","275"
"Guernsey","0","0","0","0","0","0","1","2","13","16","0","3","200","12","231"
"Holy See (Vatican City State)","0","0","0","0","0","0","0","0","2","2","0","3","23","2","30"
"Hungary","0","0","0","0","0","0","8","27","43","78","0","58","734","46","916"
"Iceland","1","0","1","0","0","1","5","7","23","35","0","22","360","26","444"
"Ireland","1","0","1","0","0","1","11","11","42","64","0","40","803","64","972"
"Isle of Man","0","0","0","0","0","0","1","3","5","9","0","3","79","6","97"
"Italy","3","0","3","5","0","8","56","142","191","389","0","213","1,691","255","2,551"
"Jersey","0","0","0","0","0","0","1","2","14","17","0","2","208","12","239"
"Latvia","0","0","0","0","0","0","2","6","28","36","0","39","576","16","667"
"Liechtenstein","0","0","0","0","0","0","0","3","7","10","0","25","417","8","460"
"Lithuania","0","0","0","0","0","0","2","4","22","28","0","35","560","15","638"
"Luxembourg","0","0","0","0","0","0","2","3","7","12","0","22","470","12","516"
"Malta","0","0","0","0","0","0","12","13","39","64","0","26","570","43","703"
"Monaco","0","0","0","0","0","0","10","8","28","46","0","14","392","26","478"
"Montenegro","1","0","1","0","0","1","23","64","68","155","0","88","1,046","78","1,368"
"Netherlands","1","0","1","0","0","1","8","6","40","54","0","55","794","37","941"
"North Macedonia","2","0","2","2","0","4","20","45","69","134","0","60","758","50","1,004"
"Norway","0","0","0","0","0","0","9","12","46","67","0","54","704","29","854"
"Poland","1","0","1","0","0","1","3","25","40","68","0","59","800","37","965"
"Portugal","6","0","6","17","0","23","114","117","152","383","0","156","1,737","314","2,596"
"Romania","2","0","2","2","0","4","20","51","76","147","0","78","979","76","1,282"
"San Marino","0","0","0","0","0","0","1","0","4","5","0","5","63","4","77"
"Serbia","0","0","0","0","0","0","11","39","55","105","0","64","886","27","1,082"
"Slovakia","0","0","0","0","0","0","8","23","38","69","0","63","767","45","944"
"Slovenia","0","0","0","0","0","0","17","45","115","177","0","60","1,132","83","1,452"
"Spain","2","0","2","11","0","13","86","183","248","517","0","288","2,233","485","3,525"
"Svalbard and Jan Mayen","0","0","0","0","0","0","0","2","11","13","0","8","76","3","100"
"Sweden","0","0","0","0","0","0","6","9","42","57","0","60","728","32","877"
"Switzerland","6","0","6","0","0","6","6","45","57","108","0","80","846","60","1,100"
"United Kingdom","3","0","3","2","0","5","19","21","67","107","0","66","1,032","65","1,273"